File: _streakfinder.test
Type: cpu
Time: Nov 30, 2022 at 4:21pm (CET)
Duration: 29.88s, Total samples = 83.30s (278.75%)
Showing nodes accounting for 66.38s, 79.69% of 83.30s total
Dropped 475 nodes (cum <= 0.42s)
      flat  flat%   sum%        cum   cum%
     7.56s  9.08%  9.08%      9.01s 10.82%  sort.doPivot /usr/lib/go-1.13/src/sort/sort.go:123
     6.02s  7.23% 16.30%      6.02s  7.23%  sync.(*Mutex).lockSlow /usr/lib/go-1.13/src/sync/mutex.go:129
     5.83s  7.00% 23.30%      6.97s  8.37%  sort.doPivot /usr/lib/go-1.13/src/sort/sort.go:121
     3.44s  4.13% 27.43%      3.44s  4.13%  sync.(*Mutex).Unlock /usr/lib/go-1.13/src/sync/mutex.go:186
     3.06s  3.67% 31.10%      3.06s  3.67%  runtime.futex /usr/lib/go-1.13/src/runtime/sys_linux_amd64.s:536
     3.06s  3.67% 34.78%      3.06s  3.67%  sort.IntSlice.Less /usr/lib/go-1.13/src/sort/sort.go:272
     2.91s  3.49% 38.27%      2.91s  3.49%  sync.(*Mutex).Lock /usr/lib/go-1.13/src/sync/mutex.go:74
     2.24s  2.69% 40.96%      2.24s  2.69%  runtime.lock /usr/lib/go-1.13/src/runtime/lock_futex.go:56
     1.94s  2.33% 43.29%      1.94s  2.33%  runtime.procyield /usr/lib/go-1.13/src/runtime/asm_amd64.s:570
     1.81s  2.17% 45.46%      1.81s  2.17%  runtime.cansemacquire /usr/lib/go-1.13/src/runtime/sema.go:205
     1.73s  2.08% 47.54%      4.23s  5.08%  math/rand.(*lockedSource).Int63 /usr/lib/go-1.13/src/math/rand/rand.go:381
     1.61s  1.93% 49.47%      1.61s  1.93%  runtime.procyield /usr/lib/go-1.13/src/runtime/asm_amd64.s:569
     1.54s  1.85% 51.32%      1.54s  1.85%  sync.(*Mutex).lockSlow /usr/lib/go-1.13/src/sync/mutex.go:89
     1.42s  1.70% 53.03%      1.42s  1.70%  runtime.unlock /usr/lib/go-1.13/src/runtime/lock_futex.go:108
     1.40s  1.68% 54.71%      1.40s  1.68%  runtime.usleep /usr/lib/go-1.13/src/runtime/sys_linux_amd64.s:131
     1.35s  1.62% 56.33%      1.35s  1.62%  sync.(*Mutex).lockSlow /usr/lib/go-1.13/src/sync/mutex.go:164
     1.14s  1.37% 57.70%      1.14s  1.37%  runtime.cansemacquire /usr/lib/go-1.13/src/runtime/sema.go:208
     1.13s  1.36% 59.05%      1.13s  1.36%  math/rand.(*rngSource).Uint64 /usr/lib/go-1.13/src/math/rand/rng.go:249
     1.13s  1.36% 60.41%      1.23s  1.48%  sync.runtime_nanotime /usr/lib/go-1.13/src/runtime/sema.go:613
     1.11s  1.33% 61.74%      1.32s  1.58%  sort.insertionSort /usr/lib/go-1.13/src/sort/sort.go:27
     1.10s  1.32% 63.06%      1.92s  2.30%  sort.doPivot /usr/lib/go-1.13/src/sort/sort.go:129
     1.09s  1.31% 64.37%      1.09s  1.31%  sort.IntSlice.Swap /usr/lib/go-1.13/src/sort/sort.go:273
     1.06s  1.27% 65.64%      1.06s  1.27%  runtime.lock /usr/lib/go-1.13/src/runtime/lock_futex.go:78
     0.98s  1.18% 66.82%      0.98s  1.18%  math/rand.(*rngSource).Uint64 /usr/lib/go-1.13/src/math/rand/rng.go:239
     0.90s  1.08% 67.90%      0.90s  1.08%  sort.doPivot /usr/lib/go-1.13/src/sort/sort.go:130
     0.86s  1.03% 68.93%      0.86s  1.03%  sync.(*Mutex).unlockSlow /usr/lib/go-1.13/src/sync/mutex.go:212
     0.72s  0.86% 69.80%      0.72s  0.86%  runtime.semroot /usr/lib/go-1.13/src/runtime/sema.go:199
     0.69s  0.83% 70.62%      0.69s  0.83%  runtime.lock /usr/lib/go-1.13/src/runtime/lock_futex.go:79
     0.69s  0.83% 71.45%      0.69s  0.83%  runtime.semrelease1 /usr/lib/go-1.13/src/runtime/sema.go:166
     0.69s  0.83% 72.28%      1.13s  1.36%  runtime.semrelease1 /usr/lib/go-1.13/src/runtime/sema.go:182
     0.67s   0.8% 73.09%      0.67s   0.8%  runtime.casgstatus /usr/lib/go-1.13/src/runtime/proc.go:797
     0.56s  0.67% 73.76%      1.75s  2.10%  runtime.semacquire1 /usr/lib/go-1.13/src/runtime/sema.go:136
     0.52s  0.62% 74.38%      0.52s  0.62%  math/rand.(*Rand).Int31n /usr/lib/go-1.13/src/math/rand/rand.go:138
     0.51s  0.61% 74.99%      0.51s  0.61%  math/rand.(*Rand).Int31n /usr/lib/go-1.13/src/math/rand/rand.go:133
     0.50s   0.6% 75.59%      0.50s   0.6%  sync.runtime_canSpin /usr/lib/go-1.13/src/runtime/proc.go:5125
     0.48s  0.58% 76.17%      1.51s  1.81%  sync.(*Mutex).lockSlow /usr/lib/go-1.13/src/sync/mutex.go:93
     0.37s  0.44% 76.61%      0.97s  1.16%  runtime.semacquire1 /usr/lib/go-1.13/src/runtime/sema.go:145
     0.29s  0.35% 76.96%      0.72s  0.86%  runtime.findrunnable /usr/lib/go-1.13/src/runtime/proc.go:2331
